Gene (corrected for NGE)	Telomere Phenotype*
YEL057C	S
YGL039W	sl
YGR042W	S
YHL012W	sl
YIL042C	ss
YIL077C	ss
BET4	DAmP Long
YJR079W	sl
YKU70	VS
YKU80	VS
SIK1	DAmP Long
CDC42	DAmP Long
TAD3	DAmP Long
RPP0	DAmP Long
SRC1	sl
YMR269W	sl
YOR008C-A	sl
YOR066W	sl
YOR1	L
RFC1	DAmP Long
YOR235W	sl
YPL017C	sl
YPL041C	S
YPL068C	sl
YPL105C	sl
YPL144W	S
YPP1	DAmP Short
YPT7	ss
YSP3	ss
YTA7	S
ZEO1	sl
INO80	short
HRR25	Short
PDS5	short
SWC4	VS
RIM2	short
MMF1	short
RRP17	VS
TRM5	short
LSG1	Short
RSM10	Short
MRPS18	Short
ESS1	Short
RER2	Short
SFT1	Short
MTR10	Short
CYR1	Long
RIB5	ss
PGS1	Short
YFH1	Short
SAH1	Short
VHT1	short
ATM1	short
SUS1	slightly long
RSC2	short
ELO1	slightly short
MRPL8	slightly short
RRT5	slightly short
SLM4	short
TCO89	short
NMA2	slightly short
VPS51	slightly short
KRE6	slightly short
RTC1	slightly short
AIM4	slightly short
MED2	short
GAS1	short
SRP40	slightly long
NPR3	slightly long
KAP120	slightly long
MDY2	slightly long
QCR8	slightly long
RSC1	Long
LOS1	slightly long
PPQ1	slightly long
FUB1	slightly long
CMK2	slightly long
CPA1	slightly long
YPK3	slightly long
LSP1	slightly long
UAF30	slightly long
PXL1	slightly long
GDB1	long
